harness,reason,good_status,bad_status,good_exit,bad_exit,source
CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_21_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE122_Heap_Based_Buffer_Overflow__CWE131_memmove_22b_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
ap_Based_Buffer_Overflow__c_CWE129_large_66a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_17_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_65b_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_54a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_memcpy_54e_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_snprintf_64b_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memcpy_52a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_memmove_53d_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_wchar_t_memmove_52a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_13_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_41_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_68a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_67b_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
