# Results for CWE121 — 2025-11-23 12:39:48
[2025-11-23 12:40:17] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_run.log
[2025-11-23 12:40:46] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_run.log
[2025-11-23 12:41:14] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_run.log
[2025-11-23 12:41:43] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_run.log
[2025-11-23 12:42:11] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_run.log
[2025-11-23 12:42:40] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_run.log
[2025-11-23 12:43:08] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_run.log
[2025-11-23 12:43:38] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_run.log
[2025-11-23 12:44:07] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_run.log
[2025-11-23 12:44:36] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_run.log
[2025-11-23 12:45:04] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_run.log
[2025-11-23 12:45:33] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_run.log
[2025-11-23 12:46:02] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_run.log
[2025-11-23 12:46:31] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_run.log
[2025-11-23 12:46:59] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_run.log
[2025-11-23 12:47:27] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_run.log
[2025-11-23 12:47:56] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_11_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_11_run.log
[2025-11-23 12:48:24] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_11_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_11_run.log
[2025-11-23 12:48:53] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_54b_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 12:49:21] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_54b_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 12:49:50] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memmove_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memmove_15_run.log
[2025-11-23 12:50:19] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memmove_15_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memmove_15_run.log
[2025-11-23 12:50:47] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_41_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_41_run.log
