# Results for CWE364 — 2025-11-23 13:24:21
[2025-11-23 13:24:55] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_01_run.log
[2025-11-23 13:25:29] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_01_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_01_run.log
[2025-11-23 13:26:01] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_02_run.log
[2025-11-23 13:26:33] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_02_run.log
[2025-11-23 13:27:02] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_03_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_03_run.log
[2025-11-23 13:27:30] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_03_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_03_run.log
[2025-11-23 13:27:59] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_04_run.log
[2025-11-23 13:28:27] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_04_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_04_run.log
[2025-11-23 13:28:56] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_05_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_05_run.log
[2025-11-23 13:29:24] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_05_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_05_run.log
[2025-11-23 13:29:53] CWE=364 | harness=CWE364_Signal_Handler_Race_Condition__basic_06_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE364_Signal_Handler_Race_Condition__basic_06_run.log
