# Results for CWE546 — 2025-11-23 14:01:13
[2025-11-23 14:01:43] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-23 14:02:14] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-23 14:02:44] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_07_run.log
[2025-11-23 14:03:13] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_07_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_07_run.log
[2025-11-23 14:03:42] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_09_run.log
[2025-11-23 14:04:12] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_09_run.log
[2025-11-23 14:04:42] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_16_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_16_run.log
[2025-11-23 14:05:10] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_16_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_16_run.log
[2025-11-23 14:05:39] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_01_run.log
[2025-11-23 14:06:08] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_01_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_01_run.log
[2025-11-23 14:06:37] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_06_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_06_run.log
