# Results for CWE665 — 2025-11-23 14:20:34
[2025-11-23 14:21:04] CWE=665 | harness=CWE665_Improper_Initialization__char_cat_10_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__char_cat_10_run.log
[2025-11-23 14:21:33] CWE=665 | harness=CWE665_Improper_Initialization__char_cat_10_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE665_Improper_Initialization__char_cat_10_run.log
[2025-11-23 14:22:03] CWE=665 | harness=CWE665_Improper_Initialization__char_cat_12_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__char_cat_12_run.log
[2025-11-23 14:22:33] CWE=665 | harness=CWE665_Improper_Initialization__char_cat_12_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE665_Improper_Initialization__char_cat_12_run.log
[2025-11-23 14:23:03] CWE=665 | harness=CWE665_Improper_Initialization__char_cat_66b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__char_cat_66b_run.log
[2025-11-23 14:23:31] CWE=665 | harness=CWE665_Improper_Initialization__char_cat_66b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__char_cat_66b_run.log
[2025-11-23 14:24:00] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__char_ncat_09_run.log
[2025-11-23 14:24:29] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__char_ncat_09_run.log
[2025-11-23 14:24:58] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_51b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__char_ncat_51b_run.log
[2025-11-23 14:25:28] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_51b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__char_ncat_51b_run.log
[2025-11-23 14:25:58] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_52c_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__char_ncat_52c_run.log
[2025-11-23 14:26:27] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_52c_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE665_Improper_Initialization__char_ncat_52c_run.log
[2025-11-23 14:26:56] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_64a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:27:27] CWE=665 | harness=CWE665_Improper_Initialization__char_ncat_64a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:27:56] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_cat_01_run.log
[2025-11-23 14:28:26] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_01_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE665_Improper_Initialization__wchar_t_cat_01_run.log
[2025-11-23 14:28:55] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_21_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_cat_21_run.log
[2025-11-23 14:29:24] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_21_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE665_Improper_Initialization__wchar_t_cat_21_run.log
[2025-11-23 14:29:53] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_22a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:30:21] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_22a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:30:50] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_22b_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:31:18] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_22b_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 14:31:47] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_41_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_cat_41_run.log
[2025-11-23 14:32:16] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_41_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_cat_41_run.log
[2025-11-23 14:32:45] CWE=665 | harness=CWE665_Improper_Initialization__wchar_t_cat_44_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE665_Improper_Initialization__wchar_t_cat_44_run.log
