# Results for CWE476 — 2025-11-22 16:31:37
[2025-11-22 16:31:37] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_07_run.log
[2025-11-22 16:31:38] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_07_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_07_run.log
[2025-11-22 16:31:38] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_15_run.log
[2025-11-22 16:31:39] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_15_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_15_run.log
[2025-11-22 16:31:39] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_01_run.log
[2025-11-22 16:31:40] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_01_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_01_run.log
[2025-11-22 16:31:40] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_02_run.log
[2025-11-22 16:31:41] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_02_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_02_run.log
[2025-11-22 16:31:41] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_08_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_08_run.log
[2025-11-22 16:31:42] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_08_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_08_run.log
[2025-11-22 16:31:42] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_17_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__int64_t_17_run.log
