# Results for CWE122 — 2025-11-11 19:51:46
[2025-11-11 19:51:47] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_21_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_21_run.log
[2025-11-11 19:51:47] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_21_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_21_run.log
[2025-11-11 19:51:47] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__CWE131_memmove_22b_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-11 19:51:48] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__CWE131_memmove_22b_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-11 19:51:48] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__CWE135_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__CWE135_07_run.log
[2025-11-11 19:51:48] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__CWE135_07_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__CWE135_07_run.log
[2025-11-11 19:51:49] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_11_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_11_run.log
[2025-11-11 19:51:49] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_11_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_11_run.log
[2025-11-11 19:51:49] CWE=122 | harness=_Based_Buffer_Overflow__c_CWE129_large_66a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-11 19:51:49] CWE=122 | harness=_Based_Buffer_Overflow__c_CWE129_large_66a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-11 19:51:49] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_11_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_11_run.log
[2025-11-11 19:51:50] CWE=122 | harness=CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_11_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_11_run.log
