# Results for CWE546 — 2025-11-11 23:08:57
[2025-11-11 23:08:58] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-11 23:08:58] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-11 23:08:58] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_07_run.log
[2025-11-11 23:08:59] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_07_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_07_run.log
[2025-11-11 23:08:59] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_09_run.log
[2025-11-11 23:08:59] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_09_run.log
[2025-11-11 23:09:00] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_16_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_16_run.log
[2025-11-11 23:09:00] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_16_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_16_run.log
[2025-11-11 23:09:00] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_01_run.log
[2025-11-11 23:09:01] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_01_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_01_run.log
[2025-11-11 23:09:01] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_06_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_06_run.log
[2025-11-11 23:09:02] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_06_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_06_run.log
[2025-11-11 23:09:02] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_16_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_16_run.log
[2025-11-11 23:09:02] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_16_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_16_run.log
[2025-11-11 23:09:03] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_02_run.log
[2025-11-11 23:09:03] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_02_run.log
[2025-11-11 23:09:03] CWE=546 | harness=CWE546_Suspicious_Comment__HACK_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__HACK_04_run.log
