# Results for CWE121 — 2025-11-15 22:20:01
[2025-11-15 22:20:04] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_run.log
[2025-11-15 22:20:04] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05_run.log
[2025-11-15 22:20:05] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_run.log
[2025-11-15 22:20:05] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_run.log
[2025-11-15 22:20:06] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_run.log
[2025-11-15 22:20:06] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_06_run.log
[2025-11-15 22:20:06] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_run.log
[2025-11-15 22:20:07] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_run.log
[2025-11-15 22:20:07] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_run.log
[2025-11-15 22:20:08] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_run.log
[2025-11-15 22:20:08] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_run.log
[2025-11-15 22:20:09] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_run.log
[2025-11-15 22:20:09] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_run.log
[2025-11-15 22:20:10] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_run.log
[2025-11-15 22:20:10] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_run.log
[2025-11-15 22:20:11] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_54e_run.log
[2025-11-15 22:20:11] CWE=121 | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_11_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_11_run.log
