# Results for CWE476 — 2025-11-23 11:32:32
[2025-11-23 11:33:02] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_07_run.log
[2025-11-23 11:33:30] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_07_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_07_run.log
[2025-11-23 11:33:59] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_15_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_15_run.log
[2025-11-23 11:34:29] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__binary_if_15_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__binary_if_15_run.log
[2025-11-23 11:34:57] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_01_run.log
[2025-11-23 11:35:27] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_01_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_01_run.log
[2025-11-23 11:35:56] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_02_run.log
[2025-11-23 11:36:25] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_02_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_02_run.log
[2025-11-23 11:36:54] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_08_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_08_run.log
[2025-11-23 11:37:22] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__deref_after_check_08_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__deref_after_check_08_run.log
[2025-11-23 11:37:51] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_17_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__int64_t_17_run.log
[2025-11-23 11:38:19] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_17_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__int64_t_17_run.log
[2025-11-23 11:38:47] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_51a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 11:39:16] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_51a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 11:39:46] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_51b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE476_NULL_Pointer_Dereference__int64_t_51b_run.log
[2025-11-23 11:40:14] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_51b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE476_NULL_Pointer_Dereference__int64_t_51b_run.log
[2025-11-23 11:40:43] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_54a_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 11:41:11] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_54a_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 11:41:40] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_54c_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 11:42:09] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_54c_harness.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 11:42:38] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_66b_harness.c | mode=good | status=FAIL | asan=no | exit=133 | log=build/CWE476_NULL_Pointer_Dereference__int64_t_66b_run.log
[2025-11-23 11:43:08] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int64_t_66b_harness.c | mode=bad | status=FAIL | asan=no | exit=133 | log=build/CWE476_NULL_Pointer_Dereference__int64_t_66b_run.log
[2025-11-23 11:43:37] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int_10_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE476_NULL_Pointer_Dereference__int_10_run.log
[2025-11-23 11:44:06] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int_10_harness.c | mode=bad | status=PASS | asan=yes | exit=134 | log=build/CWE476_NULL_Pointer_Dereference__int_10_run.log
[2025-11-23 11:44:34] CWE=476 | harness=CWE476_NULL_Pointer_Dereference__int_52b_harness.c | mode=good | status=FAIL | asan=no | exit=1 | log=
