# Results for CWE546 — 2025-11-23 11:54:13
[2025-11-23 11:54:43] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-23 11:55:12] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_02_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_02_run.log
[2025-11-23 11:55:40] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_07_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_07_run.log
[2025-11-23 11:56:08] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_07_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_07_run.log
[2025-11-23 11:56:36] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_09_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_09_run.log
[2025-11-23 11:57:05] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_09_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_09_run.log
[2025-11-23 11:57:33] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_16_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_16_run.log
[2025-11-23 11:58:02] CWE=546 | harness=CWE546_Suspicious_Comment__BUG_16_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__BUG_16_run.log
[2025-11-23 11:58:31] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_01_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_01_run.log
[2025-11-23 11:58:59] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_01_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_01_run.log
[2025-11-23 11:59:27] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_06_harness.c | mode=good | status=PASS | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_06_run.log
[2025-11-23 11:59:58] CWE=546 | harness=CWE546_Suspicious_Comment__FIXME_06_harness.c | mode=bad | status=FAIL | asan=no | exit=0 | log=build/CWE546_Suspicious_Comment__FIXME_06_run.log
